TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
1610612737,Atlanta Hawks,82,36,46,0.439,116.4,118.4,-2.0,0.618,1.96,18.4,0.308,0.717,0.504,102.6,100.84,84.03,8339,0.482
1610612738,Boston Celtics,82,64,18,0.78,122.2,110.6,11.7,0.613,2.25,19.3,0.287,0.726,0.515,99.5,97.98,81.65,8090,0.555
1610612751,Brooklyn Nets,82,32,50,0.39,112.4,115.4,-2.9,0.63,1.95,18.6,0.289,0.715,0.497,99.4,97.56,81.3,8050,0.483
1610612766,Charlotte Hornets,82,21,61,0.256,108.6,119.2,-10.6,0.62,1.8,18.4,0.253,0.709,0.475,99.4,97.81,81.51,8047,0.447
1610612741,Chicago Bulls,82,39,43,0.476,114.0,115.7,-1.7,0.594,2.04,18.2,0.291,0.717,0.501,98.6,96.94,80.78,8078,0.493
1610612739,Cleveland Cavaliers,82,48,34,0.585,114.7,112.1,2.5,0.671,2.07,20.2,0.274,0.721,0.501,99.5,97.62,81.35,8053,0.519
1610612742,Dallas Mavericks,82,50,32,0.61,117.0,114.9,2.1,0.596,2.05,18.5,0.257,0.711,0.485,102.4,100.6,83.83,8263,0.506
1610612743,Denver Nuggets,82,57,25,0.695,117.8,112.3,5.5,0.669,2.33,20.9,0.3,0.718,0.515,99.1,97.43,81.19,7996,0.533
1610612765,Detroit Pistons,82,14,68,0.171,109.0,118.0,-9.0,0.623,1.67,18.2,0.277,0.73,0.499,102.2,100.45,83.71,8269,0.449
1610612744,Golden State Warriors,82,46,36,0.561,116.9,114.5,2.4,0.671,2.05,20.1,0.315,0.725,0.521,101.8,99.91,83.26,8261,0.512
1610612745,Houston Rockets,82,41,41,0.5,113.7,112.8,0.9,0.594,1.95,17.7,0.294,0.722,0.504,101.5,99.59,82.99,8248,0.501
1610612754,Indiana Pacers,82,47,35,0.573,120.5,117.6,2.9,0.654,2.38,21.0,0.284,0.7,0.492,104.2,102.16,85.13,8389,0.517
1610612746,LA Clippers,82,51,31,0.622,117.9,114.6,3.4,0.604,1.95,18.7,0.283,0.705,0.502,99.7,97.93,81.61,8040,0.52
1610612747,Los Angeles Lakers,82,47,35,0.573,115.4,114.8,0.6,0.654,2.04,20.1,0.244,0.725,0.496,103.1,101.38,84.48,8387,0.518
1610612763,Memphis Grizzlies,82,27,55,0.329,106.8,113.7,-6.9,0.644,1.64,17.9,0.287,0.706,0.488,100.7,98.68,82.23,8128,0.458
1610612748,Miami Heat,82,46,36,0.561,113.3,111.5,1.8,0.648,2.04,19.1,0.261,0.734,0.498,98.5,96.88,80.73,7975,0.509
1610612749,Milwaukee Bucks,82,49,33,0.598,117.6,115.0,2.6,0.615,2.05,19.0,0.255,0.731,0.499,102.2,100.51,83.76,8295,0.511
1610612750,Minnesota Timberwolves,82,56,26,0.683,114.6,108.4,6.3,0.646,1.88,19.3,0.275,0.725,0.508,99.5,97.79,81.49,8081,0.543
1610612740,New Orleans Pelicans,82,49,33,0.598,116.5,111.9,4.6,0.634,2.07,19.4,0.278,0.725,0.505,100.2,98.7,82.25,8101,0.524
1610612752,New York Knicks,82,50,32,0.61,117.3,112.4,4.9,0.59,1.84,17.8,0.333,0.729,0.527,97.8,95.96,79.97,7883,0.515
1610612760,Oklahoma City Thunder,82,57,25,0.695,118.3,111.0,7.3,0.609,2.14,19.4,0.25,0.698,0.484,102.3,100.85,84.04,8324,0.538
1610612753,Orlando Magic,82,47,35,0.573,112.9,110.8,2.2,0.61,1.68,18.1,0.297,0.737,0.515,99.4,97.37,81.14,8022,0.513
1610612755,Philadelphia 76ers,82,47,35,0.573,116.2,113.0,3.1,0.6,2.07,18.0,0.292,0.701,0.493,100.1,98.17,81.81,8090,0.506
1610612756,Phoenix Suns,82,49,33,0.598,116.8,113.7,3.1,0.637,1.82,19.4,0.292,0.714,0.514,100.8,99.0,82.5,8158,0.527
1610612757,Portland Trail Blazers,82,21,61,0.256,107.6,116.6,-9.0,0.587,1.52,16.7,0.32,0.697,0.498,100.0,97.88,81.56,8103,0.434
1610612758,Sacramento Kings,82,46,36,0.561,116.2,114.4,1.8,0.654,2.16,19.9,0.285,0.744,0.507,101.1,99.46,82.88,8226,0.5
1610612759,San Antonio Spurs,82,22,60,0.268,109.3,115.6,-6.4,0.712,1.97,20.5,0.269,0.721,0.492,103.5,101.8,84.84,8413,0.48
1610612761,Toronto Raptors,82,25,57,0.305,111.8,118.1,-6.3,0.674,2.04,19.9,0.281,0.694,0.484,101.8,99.91,83.26,8241,0.474
1610612762,Utah Jazz,82,31,51,0.378,114.5,119.6,-5.1,0.648,1.74,18.9,0.325,0.717,0.521,102.2,100.26,83.55,8281,0.478
1610612764,Washington Wizards,82,15,67,0.183,110.2,118.9,-8.7,0.65,2.0,19.5,0.24,0.683,0.459,104.9,103.07,85.89,8461,0.454
