feature,importance
PRA_ewma10,0.37181613
PRA_ewma15,0.19813183
TS_pct,0.061908655
PRA_L10_mean,0.05879782
PRA_ewma5,0.0347384
MIN_L3_mean,0.030241596
USG_pct,0.029947154
Minutes_Projected,0.025988778
PRA_L20_mean,0.016954493
REB_L3_mean,0.008231466
MIN_L10_mean,0.007749923
AST_L3_mean,0.007349035
PRA_floor_L20,0.00699766
REB_L3_median,0.006335306
MIN_L3_median,0.004218837
TS_pct_trend,0.0037770397
CTG_TOV_PCT,0.0037604878
REB_CV_L20,0.0037374517
REB_L3_max,0.0035236403
Days_Rest,0.0034257038
AST_CV_L20,0.0034191767
pace_factor,0.003363419
PRA_lag1,0.0033530546
MIN_L3_max,0.0033190728
REB_per_100_L20,0.0033059872
REB_per_100_L10,0.00327472
AST_per_100_L10,0.003258532
momentum_L3_vs_season,0.0030751699
PTS_per_100_L10,0.0030372436
USG_pct_L10,0.0029806115
Games_Last7,0.0029427472
CTG_AST_PCT,0.0028976013
MIN_L3_min,0.0027453396
PRA_L3_mean,0.002687038
is_cold,0.002604442
FG3A_L3_median,0.0025743851
FG3A_L3_mean,0.002385467
FG3_PCT_L3_mean,0.0023306445
FG3_PCT_L3_max,0.0022822965
PTS_per_100_L20,0.0021388065
AST_L3_max,0.0020124346
FG3A_L3_min,0.0018886081
USG_pct_L5,0.0017608991
hot_intensity,0.0016661978
AST_per_100_L20,0.0016571048
PTS_per_100_L5,0.0015985747
AST_L3_median,0.0015488731
momentum_L3_vs_L10,0.0015434276
BLK_L3_mean,0.0014169157
PRA_lag5,0.0013121505
PRA_L3_median,0.0011706168
PTS_L3_max,0.0011342283
AST_L3_min,0.00113049
PRA_lag7,0.0011133726
PRA_lag3,0.0010510897
is_hot,0.00097165623
PTS_L3_mean,0.00094955554
PRA_per_100_L20,0.0009204466
CTG_eFG,0.0009060227
PRA_ceiling_L20,0.0008996653
consistency_score_L10,0.000873018
PRA_L3_max,0.00086718786
momentum_strength,0.00086306315
AST_per_100_L5,0.00081719575
PRA_lag10,0.0008116413
FG3A_L3_max,0.00077231764
REB_L3_min,0.0007616268
minutes_trend,0.00074660784
PRA_L3_min,0.000714963
CTG_USG,0.0007124193
REB_per_100_L5,0.00068795524
FGA_L3_max,0.0006730146
TS_pct_L10,0.0006679901
STL_L3_mean,0.00066220615
FGA_L3_mean,0.00061128446
TS_pct_season_avg,0.0005989667
PRA_per_100_L5,0.0005434585
FG_PCT_L3_max,0.0005409377
PRA_ceiling_L10,0.00051403616
PRA_floor_L10,0.0004967943
TS_pct_L20,0.00048373733
minutes_consistency_score,0.00048347813
PRA_CV_L5,0.00047531314
PRA_CV_L20,0.0004653864
REB_CV_L10,0.0004452355
PRA_L10_std,0.00044228454
PRA_L5_mean,0.00043195992
AST_CV_L5,0.00042535327
PTS_CV_L20,0.00041968588
FGA_L3_median,0.0004191206
PRA_per_100_L10,0.00041176734
FGA_L3_min,0.00040136595
pra_trend_L3,0.0003737082
PRA_CV_L10,0.00036690073
PTS_L3_median,0.00036281973
CTG_PSA,0.00035534237
PRA_L20_std,0.00034968858
FG3_PCT_L3_median,0.00034830216
FTA_L3_max,0.0003342174
USG_pct_L3,0.00033076905
FG_PCT_L3_mean,0.00029402424
PTS_CV_L10,0.00028670073
normalized_volatility,0.0002778288
TS_pct_L5,0.0002740583
FG_PCT_L3_median,0.0002702839
AST_CV_L10,0.00026933933
TOV_L3_mean,0.00026840644
FG_PCT_L10_mean,0.00025967773
FT_PCT_L3_median,0.00025216286
FG_PCT_L3_min,0.00023843833
STL_L3_median,0.00023303705
PTS_CV_L5,0.00021198846
PRA_L3_std,0.00021130091
FT_PCT_L3_mean,0.00019938784
pra_acceleration,0.00019906674
PRA_L5_std,0.00019641312
fg_pct_trend,0.00019445867
FTA_L3_mean,0.00018840248
USG_pct_std_L10,0.00017876021
PTS_L3_min,0.00017714222
volatility_trend,0.00017712012
PRA_trend_L5_L20,0.00017369654
REB_CV_L5,0.00016898256
TS_pct_L3,0.00015820922
role_change,0.00012267612
boom_bust_score,0.000116156705
FTA_L3_min,7.9660684e-05
CTG_REB_PCT,0.0
bust_rate_L10,0.0
TOV_L3_min,0.0
BLK_L3_max,0.0
boom_rate_L10,0.0
TOV_L3_median,0.0
STL_L3_max,0.0
STL_L3_min,0.0
TOV_L3_max,0.0
FT_PCT_L3_min,0.0
FG3_PCT_L3_min,0.0
FTA_L3_median,0.0
Is_BackToBack,0.0
BLK_L3_median,0.0
FT_PCT_L3_max,0.0
BLK_L3_min,0.0
